RRID,Name,AKA,Species,Description,MAC Knockins/outs,MIC Knockins/outs,Gene of interest,Origin,Publications,Comments
TSC_SD01645,SF126,,T. thermophila,"rmm6[C3]/rmm6[C3] (mp-s, pm-s, rrm6, III)",,,,,"Kapler GM, Orias E, Blackburn EH. 1994. Tetrahymena thermophila mutants defective in the developmentally programmed maturation and maintenance of the rDNA minichromosome. Genetics 137(2):455-66.","rmm = rDNA maturation or maintenance mutation, located in the rDNA<br /><br />Submitted by Eileen Hamilton, University of California, Santa Barbara"
TSC_SD01646,SB230,,T. thermophila,"chx1-1/chx1-1; mpr1-1/mpr1-1 (CHX1, MPR1; gal1-1; CMP; cy-s, mp-s, gal-R, cmp-r, VII)",,,,,Mayo KA and Orias E. 1981. Further evidence for lack of gene expression in the tetrahymena micronucleus. Genetics 98(4):747-62.,"Submitted by Eileen Hamilton, University of California, Santa Barbara"
TSC_SD01647,SB231,,T. thermophila,"chx1-1/chx1-1; mpr1-1/mpr1-1 (CHX1, MPR1; gal1-1; cy-s, mp-s, gal-R, IV)",,,,,Mayo KA and Orias E. 1981. Further evidence for lack of gene expression in the tetrahymena micronucleus. Genetics 98(4):747-62.,"Submitted by Eileen Hamilton, University of California, Santa Barbara"
TSC_SD01648,SB232,,T. thermophila,"chx1-1/chx1-1; mpr1-1/mpr1-1 (CHX1, MPR1; gal1-1; cy-s, mp-s, gal-R, IV)",,,,,Mayo KA and Orias E. 1981. Further evidence for lack of gene expression in the tetrahymena micronucleus. Genetics 98(4):747-62.,"Submitted by Eileen Hamilton, University of California, Santa Barbara"
TSC_SD01649,SB236,,T. thermophila,"gal1-1/gal1-1 (GAL1; gal-s, IV)",,,,,Mayo KA and Orias E. 1981. Further evidence for lack of gene expression in the tetrahymena micronucleus. Genetics 98(4):747-62.,"Submitted by Eileen Hamilton, University of California, Santa Barbara"
TSC_SD01650,SB4209,,T. thermophila,"gal1-1/GAL1-1; chx1-1/CHX1-1 (gal1-1; chx1-1; gal-r; cy-r, II)",,,,,,"Generated by crossing SB1969 and SB210E. Progeny were selected as being cy-r and gal-r.<br /><br />Submitted by Eileen Hamilton, University of California, Santa Barbara"
TSC_SD01651,SB4210,,T. thermophila,"gal1-1/GAL1-1; chx1-1/CHX1-1 (gal1-1; chx1-1; gal-r; cy-r, II)",,,,,,"Generated by crossing SB1969 and SB210E. Progeny were selected as being cy-r and gal-r.<br /><br />Submitted by Eileen Hamilton, University of California, Santa Barbara"
TSC_SD01652,SB4212,,T. thermophila,"gal1-1/GAL1-1; chx1-1/CHX1-1 (gal1-1; chx1-1; gal-r; cy-r, III)",,,,,,"Generated by crossing SB1969 and SB210E. Progeny were selected as being cy-r and gal-r.<br /><br />Submitted by Eileen Hamilton, University of California, Santa Barbara"
TSC_SD01653,SB4213,,T. thermophila,"gal1-1/GAL1-1; chx1-1/CHX1-1 (gal1-1; chx1-1; gal-r; cy-r, III)",,,,,,"Generated by crossing SB1969 and SB210E. Progeny were selected as being cy-r and gal-r.<br /><br />Submitted by Eileen Hamilton, University of California, Santa Barbara"
TSC_SD01654,SB4215,,T. thermophila,"gal1-1/GAL1-1; chx1-1/CHX1-1 (gal1-1; chx1-1; gal-r; cy-r, IV)",,,,,,"Generated by crossing SB1969 and SB210E. Progeny were selected as being cy-r and gal-r.<br /><br />Submitted by Eileen Hamilton, University of California, Santa Barbara"
TSC_SD01655,SB4216,,T. thermophila,"gal1-1/GAL1-1; chx1-1/CHX1-1 (gal1-1; chx1-1; gal-r; cy-r, IV)",,,,,,"Generated by crossing SB1969 and SB210E. Progeny were selected as being cy-r and gal-r.<br /><br />Submitted by Eileen Hamilton, University of California, Santa Barbara"
TSC_SD01656,SB4218,,T. thermophila,"gal1-1/GAL1-1; chx1-1/CHX1-1 (gal1-1; chx1-1; gal-r; cy-r, V)",,,,,,"Generated by crossing SB1969 and SB210E. Progeny were selected as being cy-r and gal-r.<br /><br />Submitted by Eileen Hamilton, University of California, Santa Barbara"
TSC_SD01657,SB4219,,T. thermophila,"gal1-1/GAL1-1; chx1-1/CHX1-1 (gal1-1; chx1-1; gal-r; cy-r, V)",,,,,,"Generated by crossing SB1969 and SB210E. Progeny were selected as being cy-r and gal-r.<br /><br />Submitted by Eileen Hamilton, University of California, Santa Barbara"
TSC_SD01658,SB4221,,T. thermophila,"gal1-1/GAL1-1; chx1-1/CHX1-1 (gal1-1; chx1-1; gal-r; cy-r, VI)",,,,,,"Generated by crossing SB1969 and SB210E. Progeny were selected as being cy-r and gal-r.<br /><br />Submitted by Eileen Hamilton, University of California, Santa Barbara"
TSC_SD01659,SB4222,,T. thermophila,"gal1-1/GAL1-1; chx1-1/CHX1-1 (gal1-1; chx1-1; gal-r; cy-r, VI)",,,,,,"Generated by crossing SB1969 and SB210E. Progeny were selected as being cy-r and gal-r.<br /><br />Submitted by Eileen Hamilton, University of California, Santa Barbara"
TSC_SD01660,SB4224,,T. thermophila,"gal1-1/GAL1-1; chx1-1/CHX1-1 (gal1-1; chx1-1; gal-r; cy-r, VII)",,,,,,"Generated by crossing SB1969 and SB210E. Progeny were selected as being cy-r and gal-r.<br /><br />Submitted by Eileen Hamilton, University of California, Santa Barbara"
TSC_SD01661,SB4225,,T. thermophila,"gal1-1/GAL1-1; chx1-1/CHX1-1 (gal1-1; chx1-1; gal-r; cy-r, VII)",,,,,,"Generated by crossing SB1969 and SB210E. Progeny were selected as being cy-r and gal-r.<br /><br />Submitted by Eileen Hamilton, University of California, Santa Barbara"
TSC_SD01662,SB506,,T. thermophila,"chx1-1/chx1-1; mpr1-1/mpr1-1 (CHX1, MPR1; gal1-1; cy-s, mp-s, gal-R, II)",,,,,Mayo KA and Orias E. 1981. Further evidence for lack of gene expression in the tetrahymena micronucleus. Genetics 98(4):747-62.,"Submitted by Eileen Hamilton, University of California, Santa Barbara"
TSC_SD01663,SB507,,T. thermophila,"chx1-1/chx1-1; mpr1-1/mpr1-1 (CHX1, MPR1; gal1-1; cy-s, mp-s, gal-R, IV)",,,,,Mayo KA and Orias E. 1981. Further evidence for lack of gene expression in the tetrahymena micronucleus. Genetics 98(4):747-62.,"Submitted by Eileen Hamilton, University of California, Santa Barbara"
TSC_SD01664,SB508,,T. thermophila,"chx1-1/chx1-1; mpr1-1/mpr1-1 (CHX1, MPR1; gal1-1; cy-s, mp-s, gal-R, IV)",,,,,Mayo KA and Orias E. 1981. Further evidence for lack of gene expression in the tetrahymena micronucleus. Genetics 98(4):747-62.,"Submitted by Eileen Hamilton, University of California, Santa Barbara"
TSC_SD01665,SB509,,T. thermophila,"gal1-1/gal1-1 (GAL1; gal-s, II)",,,,,Mayo KA and Orias E. 1981. Further evidence for lack of gene expression in the tetrahymena micronucleus. Genetics 98(4):747-62.,"Submitted by Eileen Hamilton, University of California, Santa Barbara"
TSC_SD01666,GB1,,T. thermophila,chx1-1/chx1-1 (VI),GB1::neo3,,"<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00053790\"">TTHERM_00053790</a>",Biolistic transformation of macronuclei in Cu427 vegetative cells was performed to replace GB1 with the neo3 cassette.,,"Submitted by Todd Hennessey, University at Buffalo"
TSC_SD01667,GPCR3.8,,T. thermophila,mpr1-1/mpr1-1 (VII),GPCR3::neo3,,"<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00633170\"">TTHERM_00633170</a> ",Biolistic transformation of macronuclei in Cu428 vegetative cells was performed to replace GPCR3 with the neo3 cassette.,,"Submitted by Todd Hennessey, University at Buffalo"
TSC_SD01668,1098-1,,T. pyriformis,,,,,,,"Collected by Paul Doerder on 4/28/1991 from the body of water designated CRWP in Ridgway, PA (lat. 41 25.052, long. -78 51.876).<br /><br />No micronucleus present.<br /><br />"
TSC_SD01669,1121-1,,T. pyriformis,,,,,,,"Collected by Paul Doerder on 4/28/1991 from the body of water designated CRWP in Ridgway, PA (lat. 41 25.052, long. -78 51.876).<br /><br />No micronucleus present.<br /><br />"
TSC_SD01670,1101-2,,T. vorax,,,,,,,"Collected by Paul Doerder on 4/28/1991 from the body of water designated CRWP in Ridgway, PA (lat. 41 25.052, long. -78 51.876).<br /><br />No micronucleus present.<br /><br />Presence of Cech's self-splicing intron undetermined."
TSC_SD01671,1289-2,,T. pyriformis,,,,,,,"Collected by Paul Doerder on 5/17/1991 from the body of water designated FS343S in Owl's Nest, PA (lat. 41 27.026, long. -78 53.027).<br /><br />No micronucleus present.<br /><br />"
TSC_SD01672,18470-2,,T. elliotti,,,,,,,"Collected by Paul Doerder on 9/26/2004 from the body of water designated CRWP in Ridgway, PA (lat. 41 25.052, long. -78 51.876).<br /><br />No micronucleus present.<br /><br />"
TSC_SD01673,18662-4,,T. elliotti,,,,,,,"Collected by Paul Doerder on 7/12/2005 from the body of water designated FS136E in Owl's Nest, PA (lat. 41 27.657, long. -78 52.803).<br /><br />Has a micronucleus.<br /><br />"
TSC_SD01674,18715-2,,T. elliotti,,,,,,,"Collected by Paul Doerder on 8/20/2005 from the body of water designated FS136E culvert in Owl's Nest, PA (lat. 41 27.423, long. -78 52.912).<br /><br />Has a micronucleus.<br /><br />"
TSC_SD01675,18786-1,,T. sp?,,,,,,,"Collected by Paul Doerder on 9/5/2005 from the body of water designated CRWP in Ridgway, PA (lat. 41 25.052, long. -78 51.876).<br /><br />No micronucleus present.<br /><br />"
TSC_SD01676,18765-1,,T. elliotti,,,,,,,"Collected by Paul Doerder on 9/5/2005 from the body of water designated SG28 C in Owl's Nest, PA (lat. 41 28.467, long. -78 54.917).<br /><br />No micronucleus present.<br /><br />"
TSC_SD01677,19178-1,,T. elliotti,,,,,,,"Collected by Paul Doerder on 7/10/2006 from the body of water designated Middle Bolton Lake in Bolton, CT (lat. 41 49.189, long. -72 25.403).<br /><br />Has a micronucleus.<br /><br />"
TSC_SD01678,19188-5,,T. elliotti,,,,,,,"Collected by Paul Doerder on 7/11/2006 from the body of water designated Hickory Hills Lake Ov in Lunenburg, MA (lat. 42 36.386, long. -71 41.995).<br /><br />Has a micronucleus.<br /><br />"
TSC_SD01679,19399-1,,T. sp?,,,,,,,"Collected by Paul Doerder on 6/7/2007 from the body of water designated SG69-6 in Guys Mills, PA (lat. 41 38.414, long. -79 54.691).<br /><br />Has a micronucleus.<br /><br />Cech's self-splicing intron is present."
TSC_SD01680,19408-4,,T. borealis,,,,,,,"Collected by Paul Doerder on 6/7/2007 from the body of water designated Woodcock Creek Lake in Meadville, PA (lat. 41 41.508, long. -80 04.544).<br /><br />Has a micronucleus.<br /><br />"
TSC_SD01681,19473-1,,T. borealis,,,,,,,"Collected by Paul Doerder on 8/13/2007 from the body of water designated Milk River in Milk River, Alberta, Canada (lat. 49 08.608, long. -112 04.907).<br /><br />No micronucleus present.<br /><br />"
TSC_SD01682,19511-5,,T. thermophila,,,,,,,"Collected by Paul Doerder on 8/15/2007 from the body of water designated Beaver Meadows in Marienville, PA (lat. 41 31.300, long. -79 06.708).<br /><br />Has a micronucleus.<br /><br />Cech's self-splicing intron is present."
TSC_SD01683,19499-2,,T. borealis,,,,,,,"Collected by Paul Doerder on 8/15/2007 from the body of water designated Kinzua Bay DD in Warren, PA (lat. 41 50.090, long. -78 57.392).<br /><br />No micronucleus present.<br /><br />"
TSC_SD01684,19502-1,,T. borealis,,,,,,,"Collected by Paul Doerder on 8/15/2007 from the body of water designated Kinzua Bay Elijah in Warren, PA (lat. 41 49.135, long. -78 56.811).<br /><br />Has a micronucleus.<br /><br />"
TSC_SD01685,19515-1,,T. vorax,,,,,,,"Collected by Paul Doerder on 8/15/2007 from the body of water designated Little Salmon Cr 165 in Marienville, PA (lat. 41 30.573, long. -79 09.095).<br /><br />No micronucleus present.<br /><br />"
TSC_SD01686,19484-3,,T. elliotti,,,,,,,"Collected by Paul Doerder on 8/16/2007 from the body of water designated Seney NWR 1 in Germfask, MI (lat. 46 16.68, long. -85 57.21).<br /><br />No micronucleus present.<br /><br />"
TSC_SD01687,19552-1,,T. canadensis,,,,,,,"Collected by Paul Doerder on 8/25/2007 from the body of water designated Fork Run in Kelletville, PA (lat. 41 32.443, long. -79 15.666).<br /><br />Has a micronucleus.<br /><br />"
TSC_SD01688,19553-1,,T. pyriformis/setosa,,,,,,,"Collected by Paul Doerder on 8/26/2007 from the body of water designated The Branch in Kelletville, PA (lat. 41 32.536, long. -79 14.611).<br /><br />No micronucleus present.<br /><br />"
TSC_SD01689,19604-3,,T. sp?,,,,,,,"Collected by Paul Doerder on 9/22/2007 from the body of water designated Italian Shanty Run in Ridgway, PA (lat. 41 27.228, long. -78 50.886).<br /><br />No micronucleus present.<br /><br />"
TSC_SD01690,19604-1,,T. canadensis,,,,,,,"Collected by Paul Doerder on 9/22/2007 from the body of water designated Italian Shanty Run in Ridgway, PA (lat. 41 27.228, long. -78 50.886).<br /><br />Has a micronucleus.<br /><br />"
TSC_SD01691,19634-1,,T. sp?,,,,,,,"Collected by Paul Doerder on 10/28/2007 from the body of water designated E Branch Sunday Cr in Malta, OH (lat. 39 34.820, long. -82 01.073).<br /><br />No micronucleus present.<br /><br />"
TSC_SD01692,19635-2,,T. sp. SSU,,,,,,,"Collected by Paul Doerder on 10/28/2007 from the body of water designated E Branch Sunday Cr in Malta, OH (lat. 39 34.820, long. -82 01.073).<br /><br />No micronucleus present.<br /><br />Cech's self-splicing intron is present."
TSC_SD01693,19687-1,,T. vorax,,,,,,,"Collected by Paul Doerder on 5/30/2008 from the body of water designated Gilfoyle Run in Marienville, PA (lat. 41 31.787, long. -79 00.989).<br /><br />No micronucleus present.<br /><br />"
TSC_SD01694,19677-5,,T. canadensis,,,,,,,"Collected by Paul Doerder on 5/30/2008 from the body of water designated Tionesta Cr in Truemans, PA (lat. 41 37.039, long. -79 07.169).<br /><br />Has a micronucleus.<br /><br />"
TSC_SD01695,19697-2,,T. canadensis,,,,,,,"Collected by Paul Doerder on 5/31/2008 from the body of water designated Millstone Cr 3 in Sigel, PA (lat. 41 21.820, long. -79 04.164).<br /><br />Has a micronucleus.<br /><br />THIS STRAIN IS EXTINCT AND IS LISTED FOR HISTORICAL PURPOSES.<br /><br />"
TSC_SD01696,19699-1,,T. sp?,,,,,,,"Collected by Paul Doerder on 5/31/2008 from the body of water designated River Rd Cr 1 in Sigel, PA (lat. 41 20.590, long. -79 05.967).<br /><br />No micronucleus present.<br /><br />Cech's self-splicing intron is present."
TSC_SD01697,19719-2,,T. sp. SSU,,,,,,,"Collected by Paul Doerder on 6/14/2008 from the body of water designated Switzerland Lake in Wilson, OH (lat. 39 51.935, long. -81 04.022).<br /><br />No micronucleus present.<br /><br />Cech's self-splicing intron is present."
TSC_SD01698,19735-1,,T. sp?,,,,,,"Booth L, Wolfe B, Doerder FP. 2015. Molecular polymorphism in the MTA and MTB mating type genes of tetrahymena thermophila and related asexual species. J Eukaryot Microbiol.","Collected by Paul Doerder on 6/29/2008 from the body of water designated Houghton Lake in Houghton Lake, MI (lat. 44 17.978, long. -84 43.499).<br /><br />Has a micronucleus.<br /><br />Cech's self-splicing intron is present."
TSC_SD01699,19736-2,,T. sp?,,,,,,"Booth L, Wolfe B, Doerder FP. 2015. Molecular polymorphism in the MTA and MTB mating type genes of tetrahymena thermophila and related asexual species. J Eukaryot Microbiol.","Collected by Paul Doerder on 7/5/2008 from the body of water designated Lake Ariel in LakeAriel, PA (lat. 41 27.070, long. -75 22.961).<br /><br />Has a micronucleus.<br /><br />Cech's self-splicing intron is present."
TSC_SD01700,19742-5,,T. sp?,,,,,,"Booth L, Wolfe B, Doerder FP. 2015. Molecular polymorphism in the MTA and MTB mating type genes of tetrahymena thermophila and related asexual species. J Eukaryot Microbiol.","Collected by Paul Doerder on 7/19/2008 from the body of water designated Newland Rd 94 in Columbia, NC (lat. 35 53.369, long. -76 13.987).<br /><br />Has a micronucleus.<br /><br />Cech's self-splicing intron is present."
TSC_SD01701,19766-1,,T. sp?,,,,,,Doerder FP. 2014. Abandoning sex: Multiple origins of asexuality in the ciliate tetrahymena. BMC Evolutionary Biology 14(1):112.,"Collected by Paul Doerder on 7/20/2008 from the body of water designated Lake Gaston 2 in Henrico, NC (lat. 36 31.257, long. -77 52.864).<br /><br />No micronucleus present.<br /><br />Cech's self-splicing intron is present.<br /><br />THIS STRAIN IS EXTINCT AND IS LISTED FOR HISTORICAL PURPOSES.<br />THIS STRAIN IS EXTINCT AND IS LISTED FOR HISTORICAL PURPOSES."
TSC_SD01702,19771-1,,T. sp?,,,,,,Doerder FP. 2014. Abandoning sex: Multiple origins of asexuality in the ciliate tetrahymena. BMC Evolutionary Biology 14(1):112.,"Collected by Paul Doerder on 7/20/2008 from the body of water designated Lake Gaston 4 in Bracey, VA (lat. 36 34.240, long. -78 02.705).<br /><br />No micronucleus present.<br /><br />Cech's self-splicing intron is present."
TSC_SD01703,19787-2,,T. sp?,,,,,,,"Collected by Paul Doerder on 7/29/2008 from the body of water designated Little Brokenstraw in Pittsfield, PA (lat. 41 50.604, long. -79 23.390).<br /><br />No micronucleus present.<br /><br />"
TSC_SD01704,19803-1,,T. borealis,,,,,,,"Collected by Paul Doerder on 7/29/2008 from the body of water designated Little Salmon Cr 165 in Marienville, PA (lat. 41 30.573, long. -79 09.095).<br /><br />Has a micronucleus.<br /><br />"
TSC_SD01705,19794-1,,T. canadensis,,,,,,,"Collected by Paul Doerder on 7/29/2008 from the body of water designated Minister Creek 1 in Howe, PA (lat. 41 37.240, long. -79 09.217).<br /><br />Has a micronucleus.<br /><br />"
TSC_SD01706,19816-1,,T. sp?,,,,,,,"Collected by Paul Doerder on 7/30/2008 from the body of water designated FS136E culvert in Owl's Nest, PA (lat. 41 27.423, long. -78 52.912).<br /><br />No micronucleus present.<br /><br />"
TSC_SD01707,19849-3,,T. sp?,,,,,,,"Collected by Paul Doerder on 8/14/2008 from the body of water designated Lake Erie OWC in Huron, OH (lat. 41 23.073, long. -82 30.927).<br /><br />Has a micronucleus.<br /><br />"
TSC_SD01708,19852-1,,T. borealis-a,,,,,,,"Collected by Paul Doerder on 8/14/2008 from the body of water designated Lake Erie SM in Huron, OH (lat. 41 25.174, long. -82 36.138).<br /><br />Has a micronucleus.<br /><br />"
TSC_SD01709,19903-1,,T. sp?,,,,,,,"Collected by Paul Doerder on 8/26/2008 from the body of water designated Woodcock Creek in Saegertown, PA (lat. 41 42.541, long. -80 08.715).<br /><br />No micronucleus present.<br /><br />Cech's self-splicing intron is present."
TSC_SD01710,19950-1,,T. borealis,,,,,,,"Collected by Paul Doerder on 9/2/2008 from the body of water designated Kirwan Reservoir 2 in Ravenna, OH (lat. 41 08.004, long. -81 08.443).<br /><br />No micronucleus present.<br /><br />"
TSC_SD01711,19927-1,,T. sp?,,,,,,Doerder FP. 2014. Abandoning sex: Multiple origins of asexuality in the ciliate tetrahymena. BMC Evolutionary Biology 14(1):112.,"Collected by Paul Doerder on 9/2/2008 from the body of water designated Leesville Lake 2 in Leesville Lake, OH (lat. 40 27.960, long. -81 11.509).<br /><br />No micronucleus present.<br /><br />Cech's self-splicing intron is present."
TSC_SD01712,19943-2,,T. sp?,,,,,,Doerder FP. 2014. Abandoning sex: Multiple origins of asexuality in the ciliate tetrahymena. BMC Evolutionary Biology 14(1):112.,"Collected by Paul Doerder on 9/2/2008 from the body of water designated Milton Lake 1 in Milton Lake, OH (lat. 41 05.709, long. -80 59.171).<br /><br />No micronucleus present.<br /><br />Cech's self-splicing intron is present."
TSC_SD01713,19915-1,,T. sp. NI,,,,,,,"Collected by Paul Doerder on 9/2/2008 from the body of water designated SugarCr I77 in Dover, OH (lat. 40 33.279, long. -81 30.308).<br /><br />No micronucleus present.<br /><br />Cech's self-splicing intron is present."
TSC_SD01714,20424-3,,T. vorax,,,,,,,"Collected by Paul Doerder on 7/24/2009 from the body of water designated Ashuelot Pond in Marlow, NH (lat. 43 08.822, long. -72 09.221).<br /><br />No micronucleus present.<br /><br />"
TSC_SD01715,20447-1,,T. vorax,,,,,,,"Collected by Paul Doerder on 7/24/2009 from the body of water designated Island Pond #2 in Stottard, NH (lat. 43 03.887, long. -72 05.412).<br /><br />No micronucleus present.<br /><br />THIS STRAIN IS EXTINCT AND IS LISTED FOR HISTORICAL PURPOSES.<br /><br />"
TSC_SD01716,20434-2,,T. vorax,,,,,,,"Collected by Paul Doerder on 7/24/2009 from the body of water designated North Branch in Antrim, NH (lat. 43 05.125, long. -71 58.403).<br /><br />No micronucleus present.<br /><br />"
TSC_SD01718,20409-3,,T. vorax,,,,,,,"Collected by Paul Doerder on 7/24/2009 from the body of water designated Saxtons River in Saxtons River, VT (lat. 43 08.077, long. -72 31.119).<br /><br />No micronucleus present.<br /><br />"
TSC_SD01719,20471-1,,T. vorax,,,,,,,"Collected by Paul Doerder on 7/25/2009 from the body of water designated Childs Bog in Harrisville, NH (lat. 42 57.763, long. -72 07.451).<br /><br />No micronucleus present.<br /><br />"
TSC_SD01720,20478-2,,T. vorax,,,,,,,"Collected by Paul Doerder on 7/25/2009 from the body of water designated Dublin Rd Fire in Dublin, NH (lat. 42 50.614, long. -72 04.440).<br /><br />No micronucleus present.<br /><br />"
TSC_SD01722,SB2030,F1 of SB281,T. thermophila,"exoB2/EXOB2; gal1-1/GAL1-1; chx1-1/CHX1-1 (EXOB2; gal1-1; CHX1; exo+; gal-r; cy-s, ?)",,,,F1 of SB281 (SB281 crossed to SB1969)  Cycloheximide sensitive assorter.,Gutierrez JC and Orias E. 1992. Genetic characterization of tetrahymena thermophila mutants unable to secrete capsules. Dev Genet 13(2):160-6.,"Submitted by Eileen Hamilton, University of California at Santa Barbara"
TSC_SD01723,SB2031,F2 of SB281,T. thermophila,"exoB2/exoB2;  chx1-1/CHX1-1 (exoB2; CHX1; exo-; cy-s, ?)",,,,F1 of SB281 crossed two rounds to A* (The assumption is that this was a random round II cross).  Cycloheximide sensitive assorter isolated.,Gutierrez JC and Orias E. 1992. Genetic characterization of tetrahymena thermophila mutants unable to secrete capsules. Dev Genet 13(2):160-6.,"Submitted by Eileen Hamilton, University of California at Santa Barbara"
TSC_SD01724,SB2032,F3 of SB281,T. thermophila,(?),,,,F3 of SB281.  This strain is assumed to be homozygous for exoB2.,Gutierrez JC and Orias E. 1992. Genetic characterization of tetrahymena thermophila mutants unable to secrete capsules. Dev Genet 13(2):160-6.,"Submitted by Eileen Hamilton, University of California at Santa Barbara"
TSC_SD01725,LH3,MicLH,T. thermophila,"(mlh1[243::neo2]; ΔMic LH, enlarged mic, pm-r, IV)",Neo2 cassette inserted into coding of MLH1,,"MLH1 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00471820\"">TTHERM_00471820</a>)",Xuetong Shen,"Shen X, Yu L, Weir JW, Gorovsky MA. 1995. Linker histones are not essential and affect chromatin condensation in vivo. Cell 82(1):47-56.","Transformation of CU428xB2086, complete knockout of mic histone linker gene with neo2 cassette inserted into Stu1 site. Paromomycin resistant to 2 mg/ml. Cell lines LH3 and LH6 can mate with each other.<br /><br />Codes for the linker histone found in Mics, present instead of histone H1 as found in macs.<br /><br />From the Gorovsky Lab, University of Rochester."
TSC_SD01726,LH6,MicLH,T. thermophila,"(mlh1[243::neo2]; ΔMic LH, enlarged mic, pm-r, II)",Neo2 cassette inserted into coding of MLH1,,"MLH1 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00471820\"">TTHERM_00471820</a>)",Xuetong Shen,"Shen X, Yu L, Weir JW, Gorovsky MA. 1995. Linker histones are not essential and affect chromatin condensation in vivo. Cell 82(1):47-56.","Transformation of CU428xB2086, complete knockout of mic histone linker gene with neo2 cassette inserted into Stu1 site. Paromomycin resistant to 2 mg/ml. Cell lines LH3 and LH6 can mate with each other.<br /><br />Codes for the linker histone found in Mics, present instead of histone H1 as found in macs.<br /><br />From the Gorovsky Lab, University of Rochester."
TSC_SD01727,RH179E1,unsaturated fatty acid auxotroph,T. thermophila,"chx1-1/chx1-1; mat2/mat2 (chx1-1; cy-r, ?)",,,,"Robin Hill  mutagenized a cycloheximide-resistant strain of Tetrahymena thermophila (inbred strain B), crossed these cells to C* and isolated short circuit conjugants.  Screening found this strain which cannot grow in defined medium without fatty acids.","Hill RJ. 1980. Modulation of membrane fluidity in a fatty acid auxotrophe of tetrahymena thermophila. Biochim Biophys Acta 595(1):140-5.

Hill RJ, Prescott DJ, Spence SL, Conner RL. 1983. Characterization of an unsaturated fatty acid auxotroph of tetrahymena thermophila. Biochimica Et Biophysica Acta (BBA) - Lipids and Lipid Metabolism 754(2):150-8.

Katz M, Conner RL, Baum MP, Orias E. 1987. Unidirectional co-stimulation by a non-mating strain of tetrahymena thermophila. Exp Cell Res 169(1):63-73.","Non-mater so the MIC genotype is presumptive.<br /><br />Submitted by Eileen Hamilton, UCSB"
TSC_SD01729,T. elliotti Ved3-3,,T. elliotti,,,,,A gift of Ellen Simon and Dave Nanney,,"Submitted by P. Huvos, Southern Illinois Univesity"
TSC_SD01730,T. malaccensis 23b,,T. malaccensis,,,,"PGM1 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00577080\"">TTHERM_00577080</a>) and HHO1 (<a href=\""http://ciliate.org/index.php/feature/details/TTHERM_00823720\"">TTHERM_00823720</a>)",A gift of Ellen Simon and Dave Nanney,Huvos P. 1995. Developmental DNA rearrangements and micronucleus-specific sequences in five species within the tetrahymena pyriformis species complex. Genetics 141(3):925-36.,"Submitted by P. Huvos, Southern Illinois University.<br /><br />Mates with T. malaccensis 436 (SD01608) and T. malaccensis 44b (SD01732)"
TSC_SD01732,T. malaccensis 44b,,T. malaccensis,,,,,A gift of Ellen Simon and Dave Nanney,Huvos P. 1995. Developmental DNA rearrangements and micronucleus-specific sequences in five species within the tetrahymena pyriformis species complex. Genetics 141(3):925-36.,"Submitted by P. Huvos, Southern Illinois University<br /><br />Mates with T. malaccensis 23b (SD01730)"
TSC_SD01733,T. thermophila LWA,,T. thermophila,,,,,"Illinois, Piatt County, Lake of the Woods, Mahomet (Makomet?)  A gift of Ellen Simon and Dave Nanney from Ed Orias, KathyKarrer",,"Submitted by P. Huvos, Southern Illinois Univesity"
TSC_SD01734,T. thermophila C2780,,T. thermophila,,,,(The calmodulin IES), A gift of Paul Doerder,Huvos P. 2004. Modular structure in developmentally eliminated DNA in tetrahymena may be a consequence of frequent insertions and deletions. J Mol Biol 336(5):1075-86.,"Submitted by P. Huvos, Southern Illinois Univesity"
TSC_SD01735,T. thermophila Fl19k,Florida,T. thermophila,,,,,"Florida panhandle, pond at Arrowhead Campsite, Rt 90, E of Marianna.  A gift of Ellen Simon and Dave Nanney through Ed Orias Kathy Karrer",,"Submitted by P. Huvos, Southern Illinois Univesity"
TSC_SD01736,PU1,UBC9KO1,T. thermophila,"ubc9-1[Δ::neo3]/ubc9-1[Δ::neo3]; pmr1-1/pmr1-1 (UBC9; PMR1; pm-s, VI)",,ubc9-1[Δ::neo3]/ubc9-1[Δ::neo3],,"James D. Forney, Purdue University",,"Submitted by James Forney, Purdue University"
TSC_SD01737,PU2,UBC9KO2,T. thermophila,"ubc9-1[Δ::neo3]/ubc9-1[Δ::neo3]; pmr1-1/pmr1-1; mpr1-1/mpr1-1 (UBC9; PMR1; MPR1; pm-s;mp-s, VII)",,ubc9-1[Δ::neo3]/ubc9-1[Δ::neo3],,"James D. Forney, Purdue University",,"Submitted by James Forney, Purdue University"
